competition_id,category,round,match_number,date,weekday,time,home_alias,home_official,away_alias,away_official,venue,status,raw_line
paulista_sub11_2026,Sub-11,2,53,11/abr,sáb,14 h 30,CA TAQUARITINGA,CLUBE ATLÉTICO TAQUARITINGA,PORTO FOOT BALL LTDA,PORTO FOOT BALL LTDA.,Taquaritinga,scheduled,053 11/abr - sáb 14 h 30 CA TAQUARITINGA X PORTO FOOT BALL LTDA Taquaritinga
paulista_sub11_2026,Sub-11,2,54,11/abr,sáb,14 h 30,SPORT CLUBE AGUAÍ,SPORT CLUBE AGUAÍ,RIO CLARO FC,RIO CLARO FUTEBOL CLUBE,Aguaí,scheduled,054 11/abr - sáb 14 h 30 SPORT CLUBE AGUAÍ X RIO CLARO FC Aguaí
paulista_sub11_2026,Sub-11,2,55,11/abr,sáb,14 h 30,COSMOPOLITANO SPORTS,COSMOPOLITANO SPORTS LTDA.,AMPARO AC,AMPARO ATHÉTICO CLUB,Cosmópolis,scheduled,055 11/abr - sáb 14 h 30 COSMOPOLITANO SPORTS X AMPARO AC Cosmópolis
paulista_sub11_2026,Sub-11,2,56,11/abr,sáb,14 h 30,INDEPENDENTE FC,INDEPENDENTE FUTEBOL CLUBE,UA BARBARENSE FC,UNIÃO AGRÍCOLA BARBARENSE FUTEBOL CLUBE - SANTA BÁRBARA D'OESTE,Limeira,scheduled,056 11/abr - sáb 14 h 30 INDEPENDENTE FC X UA BARBARENSE FC Limeira
paulista_sub11_2026,Sub-11,2,57,11/abr,sáb,14 h 30,GUARANI FC,GUARANI FUTEBOL CLUBE,AA INTER LIMEIRA,ASSOCIAÇÃO ATLÉTICA INTERNACIONAL LIMEIRA,Amparo,scheduled,057 11/abr - sáb 14 h 30 GUARANI FC X AA INTER LIMEIRA Amparo
paulista_sub11_2026,Sub-11,2,58,11/abr,sáb,14 h 30,MACABI HOLAMBRA,MACABI HOLAMBRA ESPORTE CLUBE,RIO BRANCO EC,RIO BRANCO ESPORTE CLUBE,Holambra,scheduled,058 11/abr - sáb 14 h 30 MACABI HOLAMBRA X RIO BRANCO EC Holambra
paulista_sub11_2026,Sub-11,2,59,11/abr,sáb,14 h 30,RED BULL BRAGANTINO,RED BULL BRAGANTINO FUTEBOL LTDA.,SC PAULINENSE,SPORTING CLUB PAULINENSE,Atibaia,scheduled,059 11/abr - sáb 14 h 30 RED BULL BRAGANTINO X SC PAULINENSE Atibaia
paulista_sub11_2026,Sub-11,2,60,11/abr,sáb,14 h 30,VALINHOS HYPER FC S.A.F,VALINHOS HYPER FUTEBOL CLUBE SAF,SÃO BERNARDO FC,SÃO BERNARDO FUTEBOL CLUBE LTDA.,Valinhos,scheduled,060 11/abr - sáb 14 h 30 VALINHOS HYPER FC S.A.F X SÃO BERNARDO FC Valinhos
paulista_sub11_2026,Sub-11,2,61,11/abr,sáb,14 h 30,PRIMAVERA SAF,PRIMAVERA SAF,SFERA SAF,SFERA SAF,Indaiatuba,scheduled,061 11/abr - sáb 14 h 30 PRIMAVERA SAF X SFERA SAF Indaiatuba
paulista_sub11_2026,Sub-11,2,62,11/abr,sáb,14 h 30,VALINHOS EC,VALINHOS ESPORTE CLUBE LTDA.,DS SPORTS LTDA,DIFFERENT SYSTEM SPORTS LTDA.,Itatiba,scheduled,062 11/abr - sáb 14 h 30 VALINHOS EC X DS SPORTS LTDA Itatiba
paulista_sub11_2026,Sub-11,2,63,11/abr,sáb,14 h 30,SE PALMEIRAS,SOCIEDADE ESPORTIVA PALMEIRAS,AA FLAMENGO,ASSOCIAÇÃO ATLÉTICA FLAMENGO,Guarulhos,scheduled,063 11/abr - sáb 14 h 30 SE PALMEIRAS X AA FLAMENGO Guarulhos
paulista_sub11_2026,Sub-11,2,64,11/abr,sáb,14 h 30,AD GUARULHOS,ASSOCIAÇÃO DESPORTIVA GUARULHOS,PRATA DA CASA SAF,PRATA DA CASA SAF,Guarulhos,scheduled,064 11/abr - sáb 14 h 30 AD GUARULHOS X PRATA DA CASA SAF Guarulhos
paulista_sub11_2026,Sub-11,2,65,11/abr,sáb,14 h 30,COLORADO CAIEIRAS FC,COLORADO CAIEIRAS FUTEBOL CLUBE LTDA.,PAULISTA FC,PAULISTA FUTEBOL CLUBE LTDA.,Caieiras,scheduled,065 11/abr - sáb 14 h 30 COLORADO CAIEIRAS FC X PAULISTA FC Caieiras
paulista_sub11_2026,Sub-11,2,66,11/abr,sáb,14 h 30,SÃO PAULO FC,SÃO PAULO FUTEBOL CLUBE,SALTO FC,SALTO FUTEBOL CLUBE,Cotia,scheduled,066 11/abr - sáb 14 h 30 SÃO PAULO FC X SALTO FC Cotia
paulista_sub11_2026,Sub-11,2,67,11/abr,sáb,14 h 30,EC SÃO BENTO,ESPORTE CLUBE SÃO BENTO,REFERÊNCIA FC SAF,REFERÊNCIA FUTEBOL CLUBE SAF,Sorocaba,scheduled,067 11/abr - sáb 14 h 30 EC SÃO BENTO X REFERÊNCIA FC SAF Sorocaba
paulista_sub11_2026,Sub-11,2,68,11/abr,sáb,14 h 30,GO AUDAX,GRÊMIO OSASCO AUDAX ESPORTE CLUBE,REAL SOCCER,ASSOCIAÇÃO ACADEMY REAL FUTEBOL CLUBE,Osasco,scheduled,068 11/abr - sáb 14 h 30 GO AUDAX X REAL SOCCER Osasco
paulista_sub11_2026,Sub-11,2,69,11/abr,sáb,14 h 30,CLUBE VITAL SAF,CLUBE VITAL ACADEMIA DE FUTEBOL SAF,VOTORATY FC,VOTORATY FUTEBOL CLUBE LTDA.,Ibiúna,scheduled,069 11/abr - sáb 14 h 30 CLUBE VITAL SAF X VOTORATY FC Ibiúna
paulista_sub11_2026,Sub-11,2,70,11/abr,sáb,14 h 30,SC CORINTHIANS PTA,SPORT CLUB CORINTHIANS PAULISTA,UNIÃO SUZANO AC,UNIÃO SUZANO ATLÉTICO CLUBE,São Paulo,scheduled,070 11/abr - sáb 14 h 30 SC CORINTHIANS PTA X UNIÃO SUZANO AC São Paulo
paulista_sub11_2026,Sub-11,2,71,11/abr,sáb,14 h 30,FC PRIMEIRA CAMISA,FUTEBOL CLUBE PRIMEIRA CAMISA,EC TAUBATÉ,ESPORTE CLUBE TAUBATÉ,São José dos Campos,scheduled,071 11/abr - sáb 14 h 30 FC PRIMEIRA CAMISA X EC TAUBATÉ São José dos Campos
paulista_sub11_2026,Sub-11,2,72,11/abr,sáb,14 h 30,ECUS SAF,ESPORTE CLUBE UNIÃO SUZANO SAF,SÃO JOSÉ EC SAF,SÃO JOSÉ ESPORTE CLUBE SAF,Suzano,scheduled,072 11/abr - sáb 14 h 30 ECUS SAF X SÃO JOSÉ EC SAF Suzano
paulista_sub11_2026,Sub-11,2,73,11/abr,sáb,14 h 30,AD MANTHIQUEIRA,ACADEMIA DESPORTIVA MANTHIQUEIRA FUTEBOL LTDA.,CA ATLÉTICO MOGI,CLUBE ATLÉTICO MOGI DAS CRUZES DE FUTEBOL LTDA.,Guaratinguetá,scheduled,073 11/abr - sáb 14 h 30 AD MANTHIQUEIRA X CA ATLÉTICO MOGI Guaratinguetá
paulista_sub11_2026,Sub-11,2,74,11/abr,sáb,14 h 30,SANTOS FC,SANTOS FUTEBOL CLUBE,BARCELONA EC,BARCELONA ESPORTIVO CAPELA LTDA.,Santos,scheduled,074 11/abr - sáb 14 h 30 SANTOS FC X BARCELONA EC Santos
paulista_sub11_2026,Sub-11,2,75,11/abr,sáb,14 h 30,GE MAUAENSE,GRÊMIO ESPORTIVO MAUAENSE,JABAQUARA AC,JABAQUARA ATLÉTICO CLUBE,Mauá,scheduled,075 11/abr - sáb 14 h 30 GE MAUAENSE X JABAQUARA AC Mauá
paulista_sub11_2026,Sub-11,2,76,11/abr,sáb,14 h 30,SÃO CAETANO FL,SÃO CAETANO FUTEBOL LTDA.,MAUÁ FUTEBOL TE,MAUÁ FUTEBOL TREINAMENTOS E ESPORTES LTDA.,São Caetano do Sul,scheduled,076 11/abr - sáb 14 h 30 SÃO CAETANO FL X MAUÁ FUTEBOL TE São Caetano do Sul
paulista_sub11_2026,Sub-11,2,77,11/abr,sáb,14 h 30,EC SÃO BERNARDO SAF,ESPORTE CLUBE SÃO BERNARDO SAF,AA PORTUGUESA,ASSOCIAÇÃO ATLÉTICA PORTUGUESA,São Bernardo do Campo,scheduled,077 11/abr - sáb 14 h 30 EC SÃO BERNARDO SAF X AA PORTUGUESA São Bernardo do Campo
paulista_sub11_2026,Sub-11,2,78,12/abr,dom,14 h 30,JUVENTUS SAF,JUVENTUS SAF,ITAQUAQUECETUBA ATH.,ITAQUAQUECETUBA ATHLETICO CLUB LTDA.,São Paulo,scheduled,078 12/abr - dom 14 h 30 JUVENTUS SAF X ITAQUAQUECETUBA ATH. São Paulo
paulista_sub11_2026,Sub-11,3,79,25/abr,sáb,14 h 30,JOSÉ BONIFÁCIO EC,JOSÉ BONIFÁCIO ESPORTE CLUBE,OLÍMPIA FC,OLÍMPIA FUTEBOL CLUBE,José Bonifácio,scheduled,079 25/abr - sáb 14 h 30 JOSÉ BONIFÁCIO EC X OLÍMPIA FC José Bonifácio
paulista_sub11_2026,Sub-11,3,80,25/abr,sáb,14 h 30,CA LINENSE,CLUBE ATLÉTICO LINENSE,MIRASSOL FC,MIRASSOL FUTEBOL CLUBE,Lins,scheduled,080 25/abr - sáb 14 h 30 CA LINENSE X MIRASSOL FC Lins
paulista_sub11_2026,Sub-11,3,81,25/abr,sáb,14 h 30,GR. CATANDUVENSE,GRÊMIO CATANDUVENSE DE FUTEBOL,CA PENAPOLENSE,CLUBE ATLÉTICO PENAPOLENSE,Catanduva,scheduled,081 25/abr - sáb 14 h 30 GR. CATANDUVENSE X CA PENAPOLENSE Catanduva
paulista_sub11_2026,Sub-11,3,82,25/abr,sáb,14 h 30,SANTA FÉ FC,SANTA FÉ FUTEBOL CLUBE LTDA.,ARAÇATUBA FC SAF,ARAÇATUBA FUTEBOL CLUBE SAF,Santa Fé do Sul,scheduled,082 25/abr - sáb 14 h 30 SANTA FÉ FC X ARAÇATUBA FC SAF Santa Fé do Sul
paulista_sub11_2026,Sub-11,3,83,25/abr,sáb,14 h 30,AA ITARARÉ,ASSOCIAÇÃO ATLÉTICA ITARARÉ,CA ASSISENSE,CLUBE ATLÉTICO ASSISENSE,Itararé,scheduled,083 25/abr - sáb 14 h 30 AA ITARARÉ X CA ASSISENSE Itararé
